NoTP,ConstCost,SS,NMCC,SSNC,TCN25,FC,BSNC,BS,Test,ConstCostCC,TC25,NM
184,[-1],129,[-1],[-1],179,[-1],[-1],132,bib-prob,[-1],186,[-1]
189,[-1],130,[-1],133,229,[-1],107,130,addr-probs,[-1],231,[-1]
72,[-1],75,[-1],[-1],79,[-1],1214,46,two-cap-prob,[-1],74,[-1]
182,[-1],128,[-1],[-1],[-1],[-1],[-1],118,workitem-probs,134,132,[-1]
75,[-1],70,[-1],74,75,[-1],69,70,date-probs,76,74,[-1]
75,76,77,72,[-1],80,75,69,47,cap-prob,74,77,76
127,[-1],132,[-1],99,134,[-1],76,109,augeas/aptcrngsec,[-1],127,[-1]
235,[-1],147,[-1],130,180,[-1],133,137,augeas/bootconf,[-1],235,[-1]
450,[-1],288,[-1],286,443,[-1],235,279,augeas/cron,[-1],453,[-1]
236,[-1],171,[-1],127,238,[-1],131,131,augeas/aptsources,[-1],231,[-1]
134,[-1],98,[-1],77,137,[-1],78,77,augeas/avahi,[-1],133,[-1]
179,[-1],140,[-1],[-1],182,[-1],[-1],131,augeas/carbon,[-1],185,[-1]
133,[-1],128,[-1],77,135,[-1],76,77,augeas/cachefilesd,[-1],133,[-1]
127,[-1],128,[-1],131,127,[-1],97,130,augeas/activemq,[-1],127,[-1]
240,[-1],182,[-1],[-1],236,[-1],139,149,augeas/cgconfig,[-1],240,[-1]
448,[-1],287,[-1],[-1],448,[-1],1557,277,augeas/automounter,[-1],450,[-1]
396,[-1],288,[-1],[-1],349,[-1],669,236,augeas/channels,[-1],386,[-1]
[-1],[-1],7153,[-1],[-1],[-1],[-1],[-1],3203,augeas/bbhosts,[-1],[-1],[-1]
183,[-1],128,[-1],127,177,[-1],128,131,augeas/cgrules,[-1],184,[-1]
337,[-1],258,[-1],[-1],390,[-1],[-1],230,augeas/aptconf-l1,[-1],336,[-1]
188,[-1],179,[-1],180,237,[-1],127,158,augeas/access,[-1],231,[-1]
131,[-1],97,[-1],88,126,[-1],77,76,augeas/apt-upd-mgr,[-1],131,[-1]
344,[-1],233,[-1],373,339,[-1],267,179,augeas/automaster,[-1],334,[-1]
182,[-1],128,[-1],[-1],180,[-1],[-1],131,augeas/aptprefs,[-1],177,[-1]
127,[-1],132,[-1],98,128,[-1],77,75,augeas/afs-cellalias,[-1],126,[-1]
[-1],[-1],10913,[-1],[-1],[-1],[-1],[-1],8795,augeas/anacron,[-1],[-1],[-1]
[-1],[-1],19884,[-1],[-1],[-1],[-1],[-1],9785,augeas/xml-synth,[-1],[-1],[-1]
174,[-1],129,[-1],[-1],185,[-1],[-1],129,augeas/aptconf,[-1],185,[-1]
[-1],[-1],1120,[-1],1118,[-1],[-1],502,517,augeas/xml-l1,[-1],[-1],[-1]
134,[-1],96,[-1],[-1],124,[-1],131,78,augeas/approx,[-1],130,[-1]
181,[-1],140,[-1],[-1],184,[-1],894,129,augeas/hosts,[-1],182,[-1]
180,[-1],129,[-1],130,179,[-1],127,127,augeas/backuppchosts,[-1],182,[-1]
128,[-1],131,[-1],106,128,[-1],74,128,augeas/chrony,[-1],130,[-1]
130,[-1],129,[-1],85,130,[-1],77,96,augeas/alias,[-1],125,[-1]
284,[-1],235,[-1],[-1],292,[-1],[-1],224,augeas/auth-keys,[-1],294,[-1]
79,[-1],75,[-1],74,75,[-1],75,77,flash-fill/extr-num,76,76,[-1]
1984,1915,1026,[-1],974,1958,1928,966,981,flash-fill/extr-fname,1021,1964,[-1]
75,[-1],76,[-1],68,73,[-1],55,74,flash-fill/extr-quant,77,75,[-1]
3641,[-1],1890,[-1],1846,[-1],[-1],820,904,flash-fill/extr-fname-err,[-1],3658,[-1]
