NoTP,ConstCost,SS,NMCC,SSNC,TCN25,FC,BSNC,BS,Test,ConstCostCC,TC25,NM
181,[-1],130,[-1],[-1],178,[-1],[-1],128,bib-prob,[-1],171,[-1]
233,[-1],129,[-1],137,230,[-1],125,125,addr-probs,[-1],229,[-1]
69,[-1],68,[-1],[-1],75,[-1],1289,41,two-cap-prob,[-1],72,[-1]
175,[-1],128,[-1],[-1],[-1],[-1],[-1],124,workitem-probs,123,171,[-1]
78,[-1],74,[-1],76,78,[-1],59,73,date-probs,73,81,[-1]
69,75,73,78,[-1],74,80,67,47,cap-prob,74,69,74
121,[-1],128,[-1],96,120,[-1],74,95,augeas/aptcrngsec,[-1],129,[-1]
222,[-1],176,[-1],128,231,[-1],125,138,augeas/bootconf,[-1],238,[-1]
491,[-1],284,[-1],283,496,[-1],251,283,augeas/cron,[-1],493,[-1]
233,[-1],178,[-1],128,230,[-1],126,125,augeas/aptsources,[-1],285,[-1]
126,[-1],118,[-1],126,133,[-1],77,114,augeas/avahi,[-1],128,[-1]
228,[-1],168,[-1],[-1],226,[-1],[-1],128,augeas/carbon,[-1],228,[-1]
133,[-1],114,[-1],84,134,[-1],76,74,augeas/cachefilesd,[-1],133,[-1]
133,[-1],131,[-1],128,129,[-1],79,128,augeas/activemq,[-1],169,[-1]
233,[-1],181,[-1],[-1],239,[-1],138,140,augeas/cgconfig,[-1],230,[-1]
495,[-1],290,[-1],[-1],449,[-1],1640,284,augeas/automounter,[-1],450,[-1]
393,[-1],281,[-1],[-1],391,[-1],698,236,augeas/channels,[-1],395,[-1]
[-1],[-1],7296,[-1],[-1],[-1],[-1],[-1],3240,augeas/bbhosts,[-1],[-1],[-1]
188,[-1],129,[-1],129,183,[-1],133,129,augeas/cgrules,[-1],177,[-1]
339,[-1],243,[-1],[-1],341,[-1],[-1],232,augeas/aptconf-l1,[-1],343,[-1]
233,[-1],182,[-1],181,231,[-1],133,141,augeas/access,[-1],239,[-1]
133,[-1],89,[-1],79,123,[-1],75,79,augeas/apt-upd-mgr,[-1],125,[-1]
336,[-1],233,[-1],370,338,[-1],239,186,augeas/automaster,[-1],338,[-1]
177,[-1],127,[-1],[-1],181,[-1],[-1],129,augeas/aptprefs,[-1],175,[-1]
125,[-1],128,[-1],91,127,[-1],80,89,augeas/afs-cellalias,[-1],129,[-1]
[-1],[-1],10855,[-1],[-1],[-1],[-1],[-1],8819,augeas/anacron,[-1],[-1],[-1]
[-1],[-1],20134,[-1],[-1],[-1],[-1],[-1],9638,augeas/xml-synth,[-1],[-1],[-1]
187,[-1],126,[-1],[-1],178,[-1],[-1],130,augeas/aptconf,[-1],182,[-1]
[-1],[-1],1099,[-1],1074,[-1],[-1],495,505,augeas/xml-l1,[-1],[-1],[-1]
130,[-1],97,[-1],[-1],133,[-1],134,77,augeas/approx,[-1],132,[-1]
183,[-1],128,[-1],[-1],179,[-1],844,129,augeas/hosts,[-1],183,[-1]
181,[-1],128,[-1],127,179,[-1],132,128,augeas/backuppchosts,[-1],177,[-1]
128,[-1],131,[-1],106,128,[-1],75,127,augeas/chrony,[-1],125,[-1]
123,[-1],109,[-1],90,121,[-1],76,85,augeas/alias,[-1],127,[-1]
291,[-1],236,[-1],[-1],293,[-1],[-1],222,augeas/auth-keys,[-1],289,[-1]
73,[-1],77,[-1],81,76,[-1],56,71,flash-fill/extr-num,79,72,[-1]
1874,1863,992,[-1],932,1899,1881,901,935,flash-fill/extr-fname,993,1893,[-1]
74,[-1],65,[-1],76,80,[-1],64,65,flash-fill/extr-quant,73,74,[-1]
3531,[-1],1808,[-1],1760,[-1],[-1],829,889,flash-fill/extr-fname-err,[-1],3554,[-1]
