NoTP,ConstCost,SS,NMCC,SSNC,TCN25,FC,BSNC,BS,Test,ConstCostCC,TC25,NM
179,[-1],130,[-1],[-1],182,[-1],[-1],129,bib-prob,[-1],182,[-1]
180,[-1],132,[-1],128,228,[-1],118,131,addr-probs,[-1],182,[-1]
[-1],[-1],87,[-1],86,141,134,[-1],[-1],scheduled-jobs,[-1],[-1],[-1]
256,[-1],137,[-1],144,135,[-1],[-1],[-1],remove-last,138,[-1],[-1]
82,[-1],54,[-1],[-1],48,[-1],1203,43,two-cap-prob,[-1],49,[-1]
136,[-1],118,[-1],[-1],[-1],[-1],[-1],94,workitem-probs,139,132,[-1]
49,[-1],60,[-1],49,48,[-1],41,48,date-probs,50,49,[-1]
45,49,49,49,[-1],45,46,53,48,cap-prob,49,43,47
134,[-1],94,[-1],86,132,[-1],83,82,augeas/aptcrngsec,[-1],140,[-1]
198,[-1],140,[-1],142,196,[-1],138,143,augeas/bootconf,[-1],196,[-1]
464,[-1],263,[-1],252,463,[-1],253,256,augeas/cron,[-1],475,[-1]
201,[-1],149,[-1],137,196,[-1],138,140,augeas/aptsources,[-1],198,[-1]
138,[-1],95,[-1],90,145,[-1],82,85,augeas/avahi,[-1],144,[-1]
181,[-1],136,[-1],[-1],197,[-1],[-1],137,augeas/carbon,[-1],196,[-1]
133,[-1],82,[-1],85,150,[-1],86,84,augeas/cachefilesd,[-1],141,[-1]
139,[-1],122,[-1],108,145,[-1],86,98,augeas/activemq,[-1],132,[-1]
265,[-1],179,[-1],[-1],266,[-1],141,143,augeas/cgconfig,[-1],261,[-1]
414,[-1],305,[-1],[-1],430,[-1],1482,247,augeas/automounter,[-1],417,[-1]
366,[-1],253,[-1],[-1],347,[-1],679,243,augeas/channels,[-1],404,[-1]
[-1],[-1],7080,[-1],[-1],[-1],[-1],[-1],3173,augeas/bbhosts,[-1],[-1],[-1]
192,[-1],145,[-1],138,192,[-1],139,139,augeas/cgrules,[-1],189,[-1]
361,[-1],242,[-1],[-1],353,[-1],[-1],241,augeas/aptconf-l1,[-1],371,[-1]
196,[-1],140,[-1],148,197,[-1],135,140,augeas/access,[-1],202,[-1]
133,[-1],88,[-1],81,133,[-1],82,84,augeas/apt-upd-mgr,[-1],133,[-1]
364,[-1],207,[-1],363,353,[-1],258,193,augeas/automaster,[-1],366,[-1]
187,[-1],143,[-1],[-1],145,[-1],[-1],135,augeas/aptprefs,[-1],197,[-1]
139,[-1],96,[-1],85,132,[-1],83,86,augeas/afs-cellalias,[-1],133,[-1]
[-1],[-1],10696,[-1],[-1],[-1],[-1],[-1],8759,augeas/anacron,[-1],[-1],[-1]
[-1],[-1],19434,[-1],[-1],[-1],[-1],[-1],9491,augeas/xml-synth,[-1],[-1],[-1]
198,[-1],139,[-1],[-1],202,[-1],[-1],139,augeas/aptconf,[-1],201,[-1]
[-1],[-1],1083,[-1],1066,[-1],[-1],486,521,augeas/xml-l1,[-1],[-1],[-1]
139,[-1],82,[-1],[-1],146,[-1],136,84,augeas/approx,[-1],144,[-1]
203,[-1],134,[-1],[-1],145,[-1],811,147,augeas/hosts,[-1],196,[-1]
144,[-1],140,[-1],131,147,[-1],94,106,augeas/backuppchosts,[-1],145,[-1]
130,[-1],114,[-1],82,139,[-1],84,96,augeas/chrony,[-1],144,[-1]
146,[-1],107,[-1],83,147,[-1],85,87,augeas/alias,[-1],136,[-1]
312,[-1],241,[-1],[-1],307,[-1],[-1],203,augeas/auth-keys,[-1],313,[-1]
40,[-1],48,[-1],46,46,[-1],[-1],[-1],flash-fill/extr-acronym,45,76,[-1]
80,86,80,[-1],83,85,80,[-1],[-1],flash-fill/normalize-name-position,86,[-1],[-1]
76,[-1],60,[-1],45,[-1],[-1],[-1],[-1],flash-fill/extr-num,44,85,[-1]
[-1],[-1],48,[-1],48,[-1],[-1],[-1],[-1],flash-fill/extr-odds,[-1],[-1],[-1]
[-1],85,46,48,53,[-1],47,[-1],[-1],flash-fill/extr-fname,49,[-1],81
20505,[-1],10586,[-1],10366,[-1],[-1],[-1],[-1],flash-fill/normalize-spaces,[-1],[-1],[-1]
83,[-1],75,[-1],47,76,[-1],[-1],[-1],flash-fill/extr-quant,51,[-1],[-1]
[-1],1029,541,[-1],[-1],[-1],1015,[-1],[-1],flash-fill/extr-fname-err,531,[-1],[-1]
